Ticker,Strategy,1d,10d,20d,60d,ytd,1y,Sharpe_10d,Sharpe_20d,Sharpe_60d,Sharpe_ytd,Sharpe_1y
EWJ,Selling Daily ATM Call,0.018209589217075717,-0.019173138344744545,-0.02520784652014907,-0.03786172604053151,-0.07764540033924827,-0.025429617743980892,-3.0282823308722397,-2.4190578500876088,-1.2073385403722265,-1.314731042070967,-0.10054631770793739
EWJ,Selling Daily ATM Put,-0.025409002579526385,0.0029400657473057645,-0.011130742271704963,0.05084851059727691,0.04728472537740536,0.25834497337782447,0.4419813727105995,-0.6973050886887803,1.4901415490706105,0.7447388716375412,1.528982485764868
EWJ,Selling Daily Strangle,-0.00998739179453123,-0.012188351265538522,-0.00513781768571242,0.03276752817276973,-0.019738778327522244,-0.041938396052297766,-3.3560331046489713,-0.8970855391221243,1.8408988225441532,-0.45356034812937884,-0.3739603553523441
EWJ,Selling Daily 25d Call,0.006854188801677097,-0.00888435202733917,-0.010827739950463489,-0.0026766883133813035,-0.04660993434006888,-0.02160946588069035,-2.9952665343551983,-2.250866213919338,-0.12002600940945798,-1.2687882284053629,-0.2845519360214924
EWJ,Selling Daily 25d Put,-0.016841580596208328,-0.0035285306169239306,0.0054784967825893816,0.03451662914378306,0.026354828683534004,-0.023306829094032255,-0.7041962330015952,0.7964575008793287,1.5633535207069544,0.6416928194234848,-0.17687430968752405
EWJ,"Sell 25d Put, Buy 25d Call",-0.023695769397885424,0.005000524848557175,0.015923906226088302,0.03499993648721844,0.07152887166658717,-0.008967618537368938,0.7999684151825565,1.5068795288290169,1.0374416248495342,1.0642748461572493,0.008820604464254169
EWJ,Stock,-0.04351861400433121,0.022376543209876365,0.01510342563204592,0.09439528023598753,0.14041559080290145,0.31541625301375675,1.7358360608303405,0.7970163846145629,1.6314604565687545,1.2849865521698687,1.418725690790921
EWY,Selling Daily ATM Straddle,-0.0398439556691611,-0.061208603256708405,-0.1356819132256164,-0.16433775312651122,-0.23138368620376415,-0.1583217720457184,-2.8585813474788107,-4.164742612233435,-2.254629453392721,-1.5611980017843576,-0.5417951132058423
EWY,Selling Daily ATM Call,0.04135529624099066,-0.08498561882819344,-0.10521051532013703,-0.2842175927192425,-0.3773631131949776,-0.4951249411442824,-5.1387422344610645,-2.9414168517527335,-3.8557229484665574,-3.2368861045218416,-2.6052923245777753
EWY,Selling Daily ATM Put,-0.08119925191015176,0.017561827370194516,-0.05013063868716661,0.13325108483311965,0.18827656188796738,0.5908045887637543,0.9292965300893113,-0.6804407597026239,1.3498028528695292,1.1065731132739658,1.6732530722116061
EWY,Selling Daily Strangle,-0.029044736717465103,-0.015251494102293206,-0.04849019432772206,-0.07349920535491916,-0.09643391314163752,-0.10686689546558104,-2.0414264591803444,-3.130828766138021,-1.988988147906777,-1.2719310216505106,-0.8238895432243662
EWY,Selling Daily 25d Call,0.019813777365721874,-0.03232920763608371,-0.03992286288767055,-0.14406464179610867,-0.19576181750321542,-0.27836787414092723,-3.4132995097436742,-1.978741192588612,-3.348509078057705,-2.807883723792678,-2.332524061218527
EWY,Selling Daily 25d Put,-0.04885851408318709,0.015333631415659355,-0.012949679761868116,0.07466833202348266,0.11350402139648041,0.22284404403504654,1.3560749129463407,-0.42476312564719965,1.5001400496465094,1.3152496305095538,1.4604430829419082
EWY,"Sell 25d Put, Buy 25d Call",-0.06867229144890907,0.0447158396700893,0.01925897251384967,0.23570356251640834,0.3548368649532636,0.6432251928928177,2.3353043721404516,0.7202346250205779,2.546888539471784,2.242183328747912,2.1097083821071316
